Gender,Manager Level,Title,Age,Education Degree,Confident,Capable,Efficient,Intelligent,Friendly,Trustworthy,Warm,Sincere,Jealous,Envious,Admiring,Proud,Inspired,Angry,Disgusted,Hateful,Frustrated,Ashamed,Pity,Sympathy
Male,Level,Vice-president,57,PhD,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Neutral,Strongly Agree
Male,Level,Organizational Manager,46,PhD,Neutral,Strongly Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Female,Top,C-Level,50,Bachelor,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,Agree
Female,Top,Assistant Manager,48,Bachelor,Strongly Disagree,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Neutral,Strongly Disagree,Disagree,Strongly Disagree
Male,Level,Assistant Manager,54,Master,Disagree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree
Male,Top,Organizational Manager,57,MBA,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree
Male,Level,Vice-president,42,Bachelor,Disagree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree
Female,Top,C-Level,40,Master,Disagree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Neutral
Female,Top,Board Member,53,Master,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Strongly Agree
Female,Middle,Assistant Manager,42,PhD,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Disagree
Male,Level,Vice-president,48,Master,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Agree,Agree,Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree
Female,Top,Board Member,49,Bachelor,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree
Male,Top,C-Level,39,Bachelor,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Strongly Disagree,Disagree,Disagree
Female,Level,Supervisor,57,Bachelor,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Neutral,Agree
Male,Level,C-Level,49,PhD,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral
Male,Middle,Assistant Manager,41,Master,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree
Female,Top,C-Level,49,Bachelor,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Neutral
Male,Top,Organizational Manager,56,PhD,Neutral,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Neutral,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree
Male,Level,Organizational Manager,44,Bachelor,Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree
Female,Middle,President,57,Bachelor,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral
Female,Level,Assistant Manager,59,Bachelor,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree
Male,Level,Board Member,56,Master,Strongly Disagree,Agree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree
Male,Top,President,41,Bachelor,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Neutral,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree
Male,Level,C-Level,46,Bachelor,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Agree
Male,Level,Supervisor,58,MBA,Strongly Disagree,Strongly Disagree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree
Female,Level,Assistant Manager,53,Bachelor,Strongly Agree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Neutral
Male,Top,Board Member,51,Bachelor,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Agree,Strongly Disagree
Female,Middle,President,38,MBA,Neutral,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree
Male,Top,Organizational Manager,38,PhD,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Disagree,Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree
Male,Top,Board Member,59,Master,Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree
Male,Top,Organizational Manager,40,PhD,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree
Female,Top,President,54,PhD,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree
Female,Middle,Supervisor,44,Master,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree
Male,Middle,Vice-president,45,Bachelor,Strongly Agree,Agree,Neutral,Neutral,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree
Male,Top,Board Member,43,MBA,Neutral,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Neutral
Female,Middle,Organizational Manager,50,Bachelor,Agree,Agree,Neutral,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Disagree
Male,Top,Assistant Manager,54,Master,Neutral,Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Agree,Agree,Neutral
Female,Level,Board Member,44,MBA,Agree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Strongly Disagree,Agree
Male,Level,Organizational Manager,56,PhD,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree
Male,Level,Organizational Manager,45,PhD,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree
Female,Middle,Vice-president,45,PhD,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Disagree
Female,Level,Supervisor,50,PhD,Strongly Disagree,Strongly Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
Male,Level,Assistant Manager,55,Bachelor,Agree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly Disagree,Agree,Neutral,Disagree,Agree,Agree,Disagree
Female,Level,Assistant Manager,49,PhD,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree
Male,Middle,Board Member,54,Master,Strongly Agree,Agree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree
Female,Middle,Organizational Manager,57,Bachelor,Strongly Disagree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree
Male,Middle,Assistant Manager,44,MBA,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral
Female,Top,C-Level,47,Bachelor,Neutral,Disagree,Agree,Neutral,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Neutral,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Neutral
Female,Level,Assistant Manager,52,PhD,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Female,Top,Board Member,59,PhD,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Agree,Neutral
Female,Middle,Vice-president,47,MBA,Strongly Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Agree
Female,Middle,Organizational Manager,41,MBA,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Disagree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree
Male,Middle,Vice-president,39,Bachelor,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree
Male,Top,C-Level,40,Bachelor,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Neutral
Male,Level,Assistant Manager,38,Master,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree
Female,Top,Supervisor,56,PhD,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree
Male,Level,C-Level,44,MBA,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Agree
Male,Top,President,54,Bachelor,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree
Male,Middle,Assistant Manager,43,Bachelor,Agree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree
Male,Top,Organizational Manager,47,Bachelor,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Neutral,Agree
Male,Top,Vice-president,40,Master,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Neutral,Strongly Disagree
Female,Level,Vice-president,48,PhD,Neutral,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree
Female,Level,Supervisor,53,PhD,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree
Male,Level,Organizational Manager,48,PhD,Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Strongly Agree,Disagree,Neutral,Agree,Strongly Agree,Neutral
Female,Level,Vice-president,58,Bachelor,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Neutral
Female,Top,Assistant Manager,44,PhD,Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Agree
Male,Middle,Board Member,42,PhD,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree
Male,Top,Vice-president,53,MBA,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree
Female,Middle,Supervisor,55,Bachelor,Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Agree
Male,Top,President,46,PhD,Strongly Agree,Agree,Agree,Neutral,Neutral,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Agree
Male,Top,C-Level,55,Master,Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Agree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Neutral,Disagree
Male,Top,Organizational Manager,40,Master,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Neutral,Agree,Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral
Female,Top,Supervisor,45,MBA,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Neutral,Agree,Neutral
Male,Middle,Supervisor,59,Bachelor,Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral
Female,Middle,President,40,Bachelor,Agree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Neutral
Male,Middle,Supervisor,44,MBA,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Strongly Disagree
Female,Level,Assistant Manager,53,PhD,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
Female,Level,Vice-president,56,PhD,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Strongly Agree
Male,Middle,Organizational Manager,50,Master,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree
Male,Level,President,47,PhD,Neutral,Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Neutral
Female,Top,Vice-president,52,Bachelor,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree
Female,Top,Assistant Manager,48,PhD,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree
Male,Level,President,45,Master,Strongly Agree,Disagree,Disagree,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Agree,Disagree,Neutral,Neutral
Female,Middle,Supervisor,41,Master,Agree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Agree,Strongly Disagree,Disagree,Neutral
Male,Level,Board Member,44,MBA,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree
Female,Middle,Board Member,43,Bachelor,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree
